node_id,road,house_number,neighborhood,suburb
10762109647,Via Paolo Sarpi,,,Sant'Alenixedda
10762109655,Via Paolo Sarpi,,,Sant'Alenixedda
10762109656,Via Baldassarre Castiglione,25,,Fonsarda
10762109658,Via Baldassarre Castiglione,27,,Fonsarda
10762109661,Via Paolo Sarpi,,,Sant'Alenixedda
10762109668,Via Baldassarre Castiglione,,,Sant'Alenixedda
10762109671,Via Baldassarre Castiglione,,,Sant'Alenixedda
10762109674,Via Baldassarre Castiglione,37,,Fonsarda
10762109677,Via Baldassarre Castiglione,,,Sant'Alenixedda
10762109679,Via Carlo Cattaneo,,,Sant'Alenixedda
10762109681,Via Carlo Cattaneo,7,,Sant'Alenixedda
10762109682,Via Baldassarre Castiglione,,,Sant'Alenixedda
10762148008,Via Baldassarre Castiglione,110,,Sant'Alenixedda
10762148011,Via Carlo Cattaneo,4a,,Sant'Alenixedda
10764575127,SS195,,,Sant'Avendrace-Santa Gilla
10764575130,Ex Strada Statale 195 Sulcitana,,,Sant'Avendrace-Santa Gilla
10764575152,Ex Strada Statale 195 Sulcitana,,,Sant'Avendrace-Santa Gilla
10764575294,Via Giuseppe Brotzu,,,Mulinu Becciu
10764575295,Via Giuseppe Brotzu,,,Mulinu Becciu
10764575298,Via Gaio Giulio Cesare,11,Terram?ini - Is Bingias,Municipalidadi de Pirri/Municipalit? di Pirri
10765498066,Calata Roma,,,Lapola/Marina
